DATE,QHKR628BIS
1979/10/1,46.8504
1980/1/1,49.5886
1980/4/1,48.8247
1980/7/1,51.9333
1980/10/1,56.2182
1981/1/1,58.5475
1981/4/1,56.8514
1981/7/1,55.2589
1981/10/1,52.7515
1982/1/1,48.0212
1982/4/1,45.3031
1982/7/1,42.0882
1982/10/1,38.9121
1983/1/1,36.1187
1983/4/1,35.3797
1983/7/1,33.461
1983/10/1,30.4822
1984/1/1,30.8347
1984/4/1,30.5151
1984/7/1,28.6492
1984/10/1,28.8404
1985/1/1,29.8158
1985/4/1,30.9536
1985/7/1,32.5595
1985/10/1,33.5511
1986/1/1,33.4444
1986/4/1,33.3688
1986/7/1,34.6434
1986/10/1,36.0169
1987/1/1,38.58
1987/4/1,40.1597
1987/7/1,41.0747
1987/10/1,40.5467
1988/1/1,41.5012
1988/4/1,43.9776
1988/7/1,46.1467
1988/10/1,48.4056
1989/1/1,52.5222
1989/4/1,52.7455
1989/7/1,49.6895
1989/10/1,51.5147
1990/1/1,51.9839
1990/4/1,51.4256
1990/7/1,52.1388
1990/10/1,52.9056
1991/1/1,53.8846
1991/4/1,58.8712
1991/7/1,67.8495
1991/10/1,74.3112
1992/1/1,78.6483
1992/4/1,83.5293
1992/7/1,83.9176
1992/10/1,79.3709
1993/1/1,77.017
1993/4/1,80.5491
1993/7/1,85.325
1993/10/1,83.3857
1994/1/1,94.645
1994/4/1,95.2356
1994/7/1,92.4238
1994/10/1,88.7342
1995/1/1,85.3989
1995/4/1,82.1598
1995/7/1,76.3633
1995/10/1,73.9869
1996/1/1,77.7328
1996/4/1,79.3133
1996/7/1,80.7853
1996/10/1,87.3167
1997/1/1,102.9934
1997/4/1,110.4707
1997/7/1,110.6401
1997/10/1,104.8989
1998/1/1,89.5319
1998/4/1,79.0053
1998/7/1,65.7803
1998/10/1,65.057
1999/1/1,66.9199
1999/4/1,67.5325
1999/7/1,67.2463
1999/10/1,64.5827
2000/1/1,66.4864
2000/4/1,62.1719
2000/7/1,60.6455
2000/10/1,58.4965
2001/1/1,56.7565
2001/4/1,56.8232
2001/7/1,55.1933
2001/10/1,52.3894
2002/1/1,53.1308
2002/4/1,52.1395
2002/7/1,49.897
2002/10/1,47.5836
2003/1/1,46.0399
2003/4/1,44.3317
2003/7/1,44.7729
2003/10/1,48.1512
2004/1/1,55.0331
2004/4/1,57.6719
2004/7/1,58.254
2004/10/1,62.079
2005/1/1,66.9442
2005/4/1,70.1375
2005/7/1,69.0446
2005/10/1,66.2683
2006/1/1,67.0609
2006/4/1,67.7814
2006/7/1,67.0284
2006/10/1,67.1693
2007/1/1,69.6136
2007/4/1,71.9301
2007/7/1,74.012
2007/10/1,78.7654
2008/1/1,86.1992
2008/4/1,85.4564
2008/7/1,83.7513
2008/10/1,73.4291
2009/1/1,73.2374
2009/4/1,79.4938
2009/7/1,87.2402
2009/10/1,88.909
2010/1/1,93.4635
2010/4/1,96.7291
2010/7/1,104.0763
2010/10/1,105.7074
2011/1/1,112.0026
2011/4/1,116.7371
2011/7/1,117.4704
2011/10/1,112.179
2012/1/1,112.5944
2012/4/1,121.9689
2012/7/1,130.1834
2012/10/1,134.1114
2013/1/1,139.22
2013/4/1,139.8266
2013/7/1,143.4907
2013/10/1,139.5587
2014/1/1,137.4874
2014/4/1,138.4533
2014/7/1,145.5332
2014/10/1,148.6683
2015/1/1,156.1006
2015/4/1,162.6137
2015/7/1,165.6918
2015/10/1,155.5156
2016/1/1,144.2174
2016/4/1,145.733
2016/7/1,152.004
2016/10/1,160.2415
2017/1/1,164.4946
2017/4/1,173.1588
2017/7/1,175.697
2017/10/1,179.2883
2018/1/1,185.7266
2018/4/1,195.1955
2018/7/1,198.5813
2018/10/1,184.9253
2019/1/1,184.0334
2019/4/1,194.7993
2019/7/1,189.6312
2019/10/1,185.7465
2020/1/1,184.5346
2020/4/1,186.8698
2020/7/1,190.7484
